file,score,used_by,width,height,sharpness,contrast,brightness,fill,bytes_per_px,problems,products
col-swarna-vedshakthi200g.jpg,4.5,1,1000,1000,554.7,40.5,241.1,0.132,0.0308,blown out; pack fills 13%; heavily compressed,Col Swarna Vedshakthi200G
cycle-rhythm-amber-20rs.jpg,4.5,1,600,600,655.7,47.8,232.2,0.219,0.0711,blown out; pack fills 22%; heavily compressed,Cycle Rhythm Amber 20Rs
dazzl-500ml.jpg,4.5,1,1000,1000,212.7,39.1,239.2,0.166,0.04,blown out; pack fills 17%; heavily compressed,Dazzl 500Ml
dds-meal-maker-new-200g.jpg,4.5,1,1080,1080,1302.4,52.2,230.8,0.053,0.072,blown out; pack fills 5%; heavily compressed,Dds Meal Maker New 200G
dove-beauty-bath100g.jpg,4.5,1,1100,1100,890.6,48.0,235.0,0.07,0.0377,blown out; pack fills 7%; heavily compressed,Dove Beauty Bath100G
dove-serum-bar75g.jpg,4.5,1,600,600,261.6,31.8,230.6,0.17,0.0878,flat; blown out; pack fills 17%,Dove Serum Bar75G
fortune-groundnut-oil870g.jpg,4.5,1,1000,751,422.4,42.2,233.4,0.207,0.0642,blown out; pack fills 21%; heavily compressed,Fortune Groundnut Oil870G
hatsun-buttermilk.jpg,4.5,1,1000,562,470.5,39.5,238.5,0.201,0.056,blown out; pack fills 20%; heavily compressed,Hatsun Buttermilk
him-fw-nat-glow-rose100ml.jpg,4.5,1,1000,1000,627.5,43.8,239.3,0.134,0.05,blown out; pack fills 13%; heavily compressed,Him Fw Nat Glow Rose100Ml
mangaldeep-treya20rs.jpg,4.5,1,500,500,710.3,45.7,235.7,0.183,0.067,blown out; pack fills 18%; heavily compressed,Mangaldeep Treya20Rs
